starttime,activebuyquotevolume,activebuyvolume,close,endtime,eventtime,eventtype,firsttradeid,high,ignoreparam,interval,isfinal,lasttradeid,low,open,quotevolume,symbol,tradenum,volume,vrb_basis_24,vrb_stdev_24,vrb_bb_upper,vrb_bb_lower,vrb_atr_24,vrb_atr_band,vrb_reversal_upper,vrb_reversal_lower,vrb_long_signal,vrb_short_signal,vrb_ratio,vrb_ratio_clamped,vrb_near_upper,vrb_near_lower,st_line,st_dir,st_up,st_dn,st_buy,st_sell
2023-08-09 00:00:00,74845981.8530054,2514.34169,29716.01,1691553599999,1691539200000,kline,0,29883.1,-3689348814741910324,4h,True,0,29613.0,29770.41,169669976.725576,BTCUSDT,96417,5699.9951,29208.575416666663,256.5488568476307,29849.94755878574,28567.203274547584,232.5317683382892,232.5317683382892,30082.47932712403,28334.671506209295,False,False,0.790326303190338,0.790326303190338,False,False,31938.616923816146,1,31938.616923816146,27407.11636457836,False,False
2023-08-09 04:00:00,69276953.9489027,2328.93794,29818.0,1691567999999,1691553600000,kline,0,29821.29,-3689348814741910324,4h,True,0,29673.34,29716.0,137481088.1789881,BTCUSDT,79000,4621.81004,29240.458333333332,281.5400024517913,29944.308339462812,28536.608327203852,229.0075279908605,229.0075279908605,30173.31586745367,28307.600799212993,False,False,0.8095551279495613,0.8095551279495613,False,False,31938.616923816146,1,31938.616923816146,27519.66404634944,False,False
2023-08-09 08:00:00,74094655.4778854,2485.08492,29888.32,1691582399999,1691568000000,kline,0,29914.19,-3689348814741910324,4h,True,0,29740.01,29818.01,142089819.858435,BTCUSDT,98533,4765.65488,29275.471666666668,306.56814606308006,30041.89203182437,28509.051301508967,226.72304765790798,226.72304765790798,30268.61507948228,28282.328253851058,False,False,0.8085396959920804,0.8085396959920804,False,False,31938.616923816146,1,31938.616923816146,27698.84809403197,False,False
2023-08-09 12:00:00,184435865.99392912,6165.32618,29761.7,1691596799999,1691582400000,kline,0,30160.0,-3689348814741910324,4h,True,0,29676.86,29888.32,343629828.0320706,BTCUSDT,228912,11490.49149,29305.48041666666,317.2587433977578,30098.627275161056,28512.333558172268,237.40708733882846,237.40708733882846,30336.034362499886,28274.926470833438,False,False,0.721346774313923,0.721346774313923,False,False,31906.42681066963,1,31906.42681066963,27743.593189330375,False,False
2023-08-09 16:00:00,108262789.8085846,3664.16239,29416.22,1691611199999,1691596800000,kline,0,29774.0,-3689348814741910324,4h,True,0,29396.95,29761.7,248822962.98393393,BTCUSDT,168061,8420.25502,29320.016666666666,313.99048185768294,30104.992871310875,28535.040462022458,243.2255420330439,243.2255420330439,30348.21841334392,28291.814919989414,False,False,0.5467823234322575,0.5467823234322575,False,False,31661.312970136143,1,31661.312970136143,27743.593189330375,False,False
2023-08-09 20:00:00,45530129.1694778,1543.00466,29581.99,1691625599999,1691611200000,kline,0,29626.0,-3689348814741910324,4h,True,0,29376.67,29416.21,88703174.3184079,BTCUSDT,79329,3005.68072,29341.260833333334,313.7482550936387,30125.63147106743,28556.890195599237,243.4798944483338,243.4798944483338,30369.111365515764,28313.410301150903,False,False,0.6171031969772535,0.6171031969772535,False,False,31513.42707162934,1,31513.42707162934,27743.593189330375,False,False
2023-08-10 00:00:00,45500515.8013296,1537.00543,29582.63,1691639999999,1691625600000,kline,0,29660.06,-3689348814741910324,4h,True,0,29566.66,29581.99,91372258.5836816,BTCUSDT,62935,3086.43915,29362.870833333334,311.7613517702861,30142.27421275905,28583.46745390762,237.22656551298664,237.22656551298664,30379.500778272035,28346.240888394634,False,False,0.6080821825880397,0.6080821825880397,False,False,31496.091968047873,1,31496.091968047873,27743.593189330375,False,False
2023-08-10 04:00:00,53738097.2327272,1818.88512,29512.0,1691654399999,1691640000000,kline,0,29616.98,-3689348814741910324,4h,True,0,29491.11,29582.63,104145119.009447,BTCUSDT,63185,3524.95587,29380.342500000002,307.85505069011543,30149.98012672529,28610.704873274713,232.58670861661213,232.58670861661213,30382.566835341902,28378.118164658103,False,False,0.5656826497607862,0.5656826497607862,False,False,31384.831119645478,1,31384.831119645478,27743.593189330375,False,False
2023-08-10 08:00:00,48240098.0842437,1634.17024,29504.01,1691668799999,1691654400000,kline,0,29559.98,-3689348814741910324,4h,True,0,29476.0,29511.99,102256895.3799195,BTCUSDT,67860,3463.97279,29398.0925,302.13964649713404,30153.441616242835,28642.743383757163,226.39476242425326,226.39476242425326,30379.83637866709,28416.34862133291,False,False,0.5539435499938148,0.5539435499938148,False,False,31255.842563663202,1,31255.842563663202,27760.167436336793,False,False
2023-08-10 12:00:00,112792694.0667735,3815.06979,29466.0,1691683199999,1691668800000,kline,0,29738.0,-3689348814741910324,4h,True,0,29400.0,29504.01,239499969.4435392,BTCUSDT,176700,8102.29021,29416.970416666667,291.4496127903687,30145.594448642587,28688.346384690747,231.04498065657603,231.04498065657603,30376.639429299164,28457.30140403417,False,False,0.5255450487032183,0.5255450487032183,False,False,31155.90343548004,1,31155.90343548004,27814.106564519956,False,False
